0001.HK,CK HUTCHISON HOLDINGS LTD.
0002.HK,CLP HOLDINGS LTD.
0003.HK,HONG KONG AND CHINA GAS CO. LTD.
0005.HK,HSBC HOLDINGS PLC
0006.HK,POWER ASSETS HOLDINGS LTD.
0011.HK,HANG SENG BANK LTD.
0012.HK,HENDERSON LAND DEVELOPMENT CO. LTD.
0016.HK,SUN HUNG KAI PROPERTIES LTD.
0027.HK,GALAXY ENTERTAINMENT GROUP LTD.
0066.HK,MTR CORPORATION LTD.
0101.HK,HANG LUNG PROPERTIES LTD.
0175.HK,GEELY AUTOMOBILE HOLDINGS LTD.
0241.HK,ALIBABA HEALTH INFORMATION TECHNOLOGY LTD.
0267.HK,CITIC LTD.
0285.HK,BYD ELECTRONIC (INTERNATIONAL) CO. LTD.
0288.HK,WH GROUP LTD.
0291.HK,CHINA RESOURCES BEER (HOLDINGS) CO. LTD.
0316.HK,ORIENT OVERSEAS (INTERNATIONAL) LTD.
0322.HK,TINGYI (CAYMAN ISLANDS) HOLDING CORP.
0386.HK,CHINA PETROLEUM & CHEMICAL CORPORATION - H SHARES
0388.HK,HONG KONG EXCHANGES AND CLEARING LTD.
0669.HK,TECHTRONIC INDUSTRIES CO. LTD.
0688.HK,CHINA OVERSEAS LAND & INVESTMENT LTD.
0700.HK,TENCENT HOLDINGS LTD.
0762.HK,CHINA UNICOM (HONG KONG) LTD.
0823.HK,LINK REAL ESTATE INVESTMENT TRUST
0836.HK,CHINA RESOURCES POWER HOLDINGS CO. LTD.
0857.HK,PETROCHINA CO. LTD. - H SHARES
0868.HK,XINYI GLASS HOLDINGS LTD.
0881.HK,ZHONGSHENG GROUP HOLDINGS LTD.
0883.HK,CNOOC LTD.
0939.HK,CHINA CONSTRUCTION BANK CORPORATION - H SHARES
0941.HK,CHINA MOBILE LTD.
0960.HK,LONGFOR GROUP HOLDINGS LTD.
0968.HK,XINYI SOLAR HOLDINGS LTD.
0981.HK,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION
0992.HK,LENOVO GROUP LTD.
1024.HK,KUAISHOU TECHNOLOGY - W
1038.HK,CK INFRASTRUCTURE HOLDINGS LTD.
1044.HK,HENGAN INTERNATIONAL GROUP CO. LTD.
1088.HK,CHINA SHENHUA ENERGY CO. LTD. - H SHARES
1093.HK,CSPC PHARMACEUTICAL GROUP LTD.
1099.HK,SINOPHARM GROUP CO. LTD. - H SHARES
1109.HK,CHINA RESOURCES LAND LTD.
1113.HK,CK ASSET HOLDINGS LTD.
1177.HK,SINO BIOPHARMACEUTICAL LTD.
1209.HK,CHINA RESOURCES MIXC LIFESTYLE SERVICES LTD.
1211.HK,BYD CO. LTD. - H SHARES
1299.HK,AIA GROUP LTD.
1378.HK,CHINA HONGQIAO GROUP LTD.
1398.HK,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD. - H SHARES
1810.HK,XIAOMI CORPORATION - W
1876.HK,BUDWEISER BREWING CO. APAC LTD.
1928.HK,SANDS CHINA LTD.
1929.HK,CHOW TAI FOOK JEWELLERY GROUP LTD.
1997.HK,WHARF REAL ESTATE INVESTMENT CO. LTD.
2015.HK,LI AUTO INC. - W
2020.HK,ANTA SPORTS PRODUCTS LTD.
2057.HK,ZTO EXPRESS (CAYMAN) INC. - W
2269.HK,WUXI BIOLOGICS (CAYMAN) INC.
2313.HK,SHENZHOU INTERNATIONAL GROUP HOLDINGS LTD.
2318.HK,"PING AN INSURANCE (GROUP) CO. OF CHINA, LTD. - H SHARES"
2319.HK,CHINA MENGNIU DAIRY CO. LTD.
2331.HK,LI NING CO. LTD.
2359.HK,"WUXI APPTEC CO., LTD. - H SHARES"
2382.HK,SUNNY OPTICAL TECHNOLOGY (GROUP) CO. LTD.
2388.HK,BOC HONG KONG (HOLDINGS) LTD.
2628.HK,CHINA LIFE INSURANCE CO. LTD. - H SHARES
2688.HK,ENN ENERGY HOLDINGS LTD.
2899.HK,"ZIJIN MINING GROUP CO., LTD. - H SHARES"
3690.HK,MEITUAN - W
3692.HK,HANSOH PHARMACEUTICAL GROUP CO. LTD.
3968.HK,"CHINA MERCHANTS BANK CO., LTD. - H SHARES"
3988.HK,BANK OF CHINA LTD. - H SHARES
6618.HK,JD HEALTH INTERNATIONAL INC.
6690.HK,"HAIER SMART HOME CO., LTD. - H SHARES"
6862.HK,HAIDILAO INTERNATIONAL HOLDING LTD.
9618.HK,"JD.COM, INC. - SW"
9633.HK,"NONGFU SPRING CO., LTD. - H SHARES"
9888.HK,"BAIDU, INC. - SW"
9901.HK,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC. - S
9961.HK,TRIP.COM GROUP LTD. - S
9988.HK,ALIBABA GROUP HOLDING LTD. - W
9999.HK,"NETEASE, INC. - S"
